Case,Total victims,Location,Prior signs of possible mental illness,Type,cloud,Injured,Type of weapons,Mental Health Sources,latitude,Weapon details,Gender,Venue,Summary,tokens,Date,Race,Weapons obtained legally,Mental Health,longitude,Sources,Fatalities,Year,Where obtained
Charleston Church Shooting,10,"Charleston, South Carolina",unknown,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,Handgun,,32.788387,".45-caliber Glock (model 41, with 13-round capacity magazine)",Male,Religious,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""","['dylann', 'storm', 'roof', '21', 'shot', 'killed', '9', 'people', 'opening', 'fire', 'emanuel', 'ame', 'church', 'charleston', 'south', 'carolina', 'according', 'roommate', 'allegedly', 'planning', 'something', 'like', 'six', 'months']",6/17/2015,White,Yes,,-79.933143,http://www.motherjones.com/politics/2015/06/dylann-roofs-attorney; http://www.newsweek.com/report-nine-shot-charleston-south-carolina-church-shooting-344235; http://www.cnn.com/2015/06/19/us/charleston-church-shooting-suspect/; http://www.motherjones.com/politics/2015/06/9-people-dead-mass-shooting-south-carolina-church; http://www.nbcnews.com/storyline/charleston-church-shooting/fbi-says-dyann-roof-should-not-have-been-sold-gun-n390056 ,9,2015,"Shooter's Choice gun store in West Columbia, South Carolina"
Trestle Trail bridge shooting,4,"Menasha, Wisconsin",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,"Two handguns
",,,"Details unclear, but after the shooting, police found eight guns in total in Valencia del Toro's home, including handguns, shotguns, and rifles, plus and more than 1,000 rounds of ammunition. He took two weapons and ammunition to the bridge.",M,Other,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.","['sergio', 'valencia', 'del', 'toro', '27', 'officials', 'say', 'random', 'act', 'shot', 'killed', 'three', 'people', 'including', '11', 'year', 'old', 'girl', 'turning', 'gun', 'serving', 'air', 'force', 'went', 'emergency', 'walk', 'clinic', 'concerns', 'mood', 'swings', 'either', 'sought', 'ordered', 'behavioral', 'health', 'interventions', 'according', 'fox', '6', 'now', '2014', 'risk', 'assessment', 'psychologist', 'outpatient', 'clinic', 'appleton', 'valencia', 'del', 'toro', 'recalled', 'thinking', 'previously', 'gonna', 'take', 'might', 'well', 'take', 'people', 'police', 'report', 'obtained', 'fox', '6', 'says', 'valencia', 'del', 'toro', 'history', 'depression', 'suicidal', 'occassionally', 'homicidal', 'thoughts', 'alcoholism', 'intoxicated', 'day', 'shooting']",6/11/2015,Latino,Yes,"While serving in the Air Force, he went to an emergency walk-in clinic because of concerns over his mood swings, and had either sought or been ordered to behavioral health interventions, according to Fox 6 Now. In a 2014 risk assessment with a psychologist at an outpatient clinic in Appleton, Valencia del Toro recalled thinking previously: ""If I'm gonna take myself out, I might as well take other people with me."" The police report obtained by Fox 6 says that Valencia del Toro had a history of depression, suicidal and occassionally homicidal thoughts, and alcoholism. He was intoxicated on the day of the shooting.",,http://fox6now.com/2015/06/11/released-menasha-police-issue-final-report-on-trestle-trail-bridge-shooting/ and http://www.postcrescent.com/story/news/local/2015/06/11/police-gunman-prior-suicidal-homicidal-thoughts/71064874/ and http://fox6now.com/2015/05/05/he-was-my-future-husband-fiancee-of-menasha-gunman-says-shes-devastated-for-victims-families/ ,3,2015,Unclear
Marysville-Pilchuck High School shooting,6,"Marysville, Washington",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,Handgun,http://www.newyorker.com/science/maria-konnikova/almost-link-mental-health-gun-violence,48.050824,Beretta .40-caliber handgun,Male,School,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five 
students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.","['jaylen', 'fryberg', '15', 'using', '40', 'caliber', 'berretta', 'shot', 'five', 'students', 'marysville', 'high', 'school', 'including', 'two', 'cousins', 'three', 'friends', 'killing', 'one', 'fryberg', 'arranged', 'meet', 'lunch', 'school', 'cafeteria', 'text', 'fryberg', 'reportedly', 'well', 'liked', 'school', 'believed', 'ill', 'will', 'victims', 'committed', 'suicide', 'scene', 'fryberg', 'well', 'liked', 'allegedly', 'happy', 'also', 'upset', 'girl', 'posted', 'emotional', 'social', 'media', 'messages', 'definitive', 'signs', 'mental', 'health', 'problems']",10/24/2014,Native American,No,"Fryberg was well-liked and allegedly happy, but was also upset about a girl and had posted emotional social media messages. No definitive signs of mental health problems.",-122.176918,http://www.seattletimes.com/seattle-news/fourth-marysville-shooting-victim-dies-as-another-is-laid-to-rest/ http://www.mercurynews.com/crime-courts/ci_26814211/jaylen-fryberg-included-tributes-washington-school-shooting-victims,5,2014,Gun was his father's.
Isla Vista mass murder,19,"Santa Barbara, California",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",13,Three semi-automatic handguns and two hunting knives,,,"Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo. A 6- inchand 8-inch “SRK” and “Boar Hunter” hunting knives. ",M,School,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.","['elliot', 'rodger', '22', 'shot', 'three', 'people', 'death', 'college', 'town', 'isla', 'vista', 'near', 'university', 'california', 'santa', 'barbara', 'also', 'shot', 'others', 'drove', 'around', 'town', 'injured', 'others', 'striking', 'vehicle', 'committed', 'suicide', 'shooting', 'car', 'police', 'closed', 'prior', 'rampage', 'rodger', 'stabbed', 'three', 'people', 'death', 'apartment', 'rodger', 'never', 'hospitalized', 'due', 'mental', 'illness', 'long', 'history', 'mental', 'health', 'issues', 'dating', 'back', 'childhood', 'received', 'treatment', 'multiple', 'counselors', 'leading', 'rampage', 'according', 'independent', 'rodger', 'considered', 'suicide', 'history', 'violence', 'just', 'rampage', 'sent', '137', 'page', 'manifesto', 'multiple', 'people']",5/23/2014,White,Yes,"Rodger was never hospitalized due to mental illness, but had a long history of mental health issues dating back to his childhood, and received treatment from multiple counselors leading up to his rampage. According to The Independent, Rodger had considered suicide but had no history of violence. Just before his rampage, he sent a 137-page manifesto to multiple people.",,http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santa-barbara-isla-vista-shooting-profile/ and http://www.cnn.com/2014/05/24/justice/california-shooting-deaths/index.html and http://www.independent.com/news/2015/feb/20/elliot-rodger-report-details-long-struggle-mental-/ and http://www.cbsnews.com/videos/how-was-elliot-rodger-able-to-purchase-weapons/ and http://www.dailymail.co.uk/news/article-2638922/Santa-Barbara-rampage-killer-bought-three-handguns-legally-gun-shop.html,6,2014,
Fort Hood shooting 2,15,"Fort Hood, Texas",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",12,"handgun
",,,.45-caliber Smith & Wesson handgun,M,Military,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.","['army', 'specialist', 'ivan', 'lopez', '34', 'opened', 'fire', 'fort', 'hood', 'army', 'post', 'texas', 'killing', 'three', 'wounding', 'least', '12', 'others', 'shooting', 'head', 'engaging', 'military', 'police', 'lt', 'gen', 'mark', 'milley', 'told', 'reporters', 'lopez', 'behavioral', 'health', 'mental', 'health', 'issues', 'lopez', 'long', 'history', 'troubling', 'behavior', 'according', 'washington', 'post', 'including', 'history', 'decieving', 'others', 'problems', 'personal', 'life', 'financial', 'difficulties', 'however', 'officials', 'found', 'lopez', 'exhibited', 'signals', 'violent', 'year', 'leading', 'attack', 'sought', 'treatment', 'medical', 'behavioral', 'health', 'ailments']",4/3/2014,Latino,"
Yes","Lopez ""had a long history of troubling behavior,"" according to the Washington Post, including a history of decieving others, problems in his personal life, and financial difficulties. However, officials found that Lopez exhibited no signals that he could be violent. In the year leading up to the attack, he sought treatment for medical and behavioral health ailments.",,http://www.cnn.com/2014/04/02/us/fort-hood-shooting/ and https://www.washingtonpost.com/news/checkpoint/wp/2015/01/23/army-details-the-downward-spiral-of-the-fort-hood-shooter-ivan-lopez/ and http://www.thedailybeast.com/articles/2014/04/03/soldier-opens-fire-at-fort-hood.html,3,2014,"Local gun store in Killeen, Guns Galore"
Alturas tribal shooting,6,"Alturas, California",Unknown,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,Two handguns and a butcher knife,,41.487104,9mm semi-automatic handgun,Female,Other,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.","['cherie', 'lash', 'rhoades', '44', 'opened', 'fire', 'cedarville', 'rancheria', 'tribal', 'office', 'community', 'center', 'killing', 'four', 'wounding', 'two', 'running', 'ammunition', 'rhoades', 'grabbed', 'butcher', 'knife', 'stabbed', 'another', 'person']",2/20/2014,Native American,Unknown,,-120.542237,http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/Alturas-tribal-shooting-Was-embezzlement-eviction-behind-family-revenge-video; http://www.cbsnews.com/news/4-dead-2-injured-at-american-indian-tribal-office-in-northern-california/; http://nativenewsonline.net/currents/former-tribal-chairperson-custody-mass-murder-cedarville-rancheria-tribal-headquarters/,4,2014,
Washington Navy Yard shooting,20,"Washington, D.C.",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",8,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene.",http://bigstory.ap.org/article/13-killed-washington-navy-yard-shooting-rampage,38.874981,Remington 870 Express 12-gauge shotgun; Beretta handgun,Male,Military,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.","['aaron', 'alexis', '34', 'military', 'veteran', 'contractor', 'texas', 'opened', 'fire', 'navy', 'installation', 'killing', '12', 'people', 'wounding', '8', 'shot', 'dead', 'police', 'told', 'rhode', 'island', 'police', 'prior', 'month', 'heard', 'voices', 'undergoing', 'mental', 'health', 'treatment', 'veterans', 'affairs', 'since', 'august', '2013']",9/16/2013,Black,Yes,"Had told Rhode Island police the prior month that he'd ""heard voices""; had been undergoing mental health treatment with Veterans Affairs since August 2013.",-76.99453,http://www.nytimes.com/2013/09/18/us/state-law-stopped-gunman-from-buying-rifle-officials-say.html; http://edition.cnn.com/2013/09/17/us/navy-yard-shooting-military-contractors; http://www.fbi.gov/washingtondc/press-releases/2013/law-enforcement-shares-findings-of-the-investigation-into-the-washington-navy-yard-shootings/index.html,12,2013,Sharpshooters Small Arms Range
Hialeah apartment shooting,7,"Hialeah, Florida",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,9mm semi-automatic handgun,http://www.miamiherald.com/2013/08/03/v-print/3539629/hialeah-killer-showed-signs-of.html,25.8670105,Glock 17,Male,"Other
","Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.","['pedro', 'vargas', '42', 'set', 'fire', 'apartment', 'killed', 'six', 'people', 'complex', 'held', 'another', 'two', 'hostages', 'gunpoint', 'swat', 'team', 'stormed', 'building', 'fatally', 'shot', 'mother', 'told', 'authorities', 'son', 'acting', 'strangely', 'needed', 'psychiatric', 'evaluation']",7/26/2013,Latino,Yes,His mother told authorities her son had been acting strangely and needed a psychiatric evaluation.,-80.29146268,http://www.miamiherald.com/2013/07/27/v-print/3526078/a-look-at-the-victims-in-the-hialeah.html  http://www.cbsnews.com/8301-201_162-57595796/pedro-vargas-idd-as-gunman-behind-deadly-rampage-in-hialeah-florida/    http://www.miamiherald.com/2013/07/28/3528362/little-about-pedro-vargas-life.html,7,2013,Florida Gun Center
Santa Monica rampage,9,"Santa Monica, California",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,"Assault rifle, high capacity magazines, antique handgun
","http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/   http://www.latimes.com/news/local/la-me-0611-santa-monica-shooting-20130611,0,1490078.story",34.008617,".223-caliber semi-automatic assault rifle, about 40 high capacity magazines, ""black powder"" handgun (likely antique)",Male,"Other
","John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.","['john', 'zawahri', '23', 'armed', 'homemade', 'assault', 'rifle', 'high', 'capacity', 'magazines', 'killed', 'brother', 'father', 'home', 'headed', 'santa', 'monica', 'college', 'eventually', 'killed', 'police', 'known', 'solitary', 'teen', 'regularly', 'ditched', 'class', 'interest', 'assault', 'weapons', 'admitted', ""ucla's"", 'psychiatric', 'ward', 'brief', 'period']",6/7/2013,White,Yes ,He was known as a solitary teen who regularly ditched class and had an interest in assault weapons; he had been admitted to UCLA's psychiatric ward for a brief period.,-118.494754,http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/,6,2013,Assembled a rifle out of component parts.
Pinewood Village Apartment shooting,5,"Federal Way, Washington",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,"Semiautomatic handgun, shotgun",,47.3129607,".40 caliber semi-automatic handgun, pistol grip shotgun",Male,"Other
","Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.","['dennis', 'clark', 'iii', '27', 'shot', 'killed', 'girlfriend', 'shared', 'apartment', 'shot', 'two', 'witnesses', ""building's"", 'parking', 'lot', 'third', 'victim', 'another', 'apartment', 'killed', 'police']",4/21/2013,Black,Yes,,-122.3393665,http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html  ,5,2013,Unknown
Mohawk Valley shootings,7,"Herkimer County, New York",No,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,Shotgun,http://poststar.com/news/local/state-and-regional/cops-kill-suspect-in-deadly-mohawk-valley-shooting-rampage/article_15260208-8bf5-11e2-b2d9-0019bb2963f4.html,43.045601,Unknown,Male,Other,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.","['kurt', 'myers', '64', 'shot', 'six', 'people', 'neighboring', 'towns', 'killing', 'two', 'barbershop', 'two', 'car', 'care', 'business', 'killed', 'officers', 'shootout', 'nearly', '19', 'hour', 'standoff']",3/13/2013,White,Yes,,-74.984891,https://www.nyspnews.com/article_display.cfm?article_id=29584,5,2013,"Frank's Guns in Marcy, NY"
Newtown school shooting,30,"Newtown, Connecticut",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)",http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid,41.4123225,"10mm Glock, 9mm SIG Sauer P226 semiautomatic handguns; .223 Bushmaster XM15-E2S semiautomatic rifle; Izhmash Saiga-12 12-gauge semiautomatic shotgun",Male,School,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.","['adam', 'lanza', '20', 'shot', 'mother', 'dead', 'home', 'drove', 'sandy', 'hook', 'elementary', 'school', 'forced', 'way', 'inside', 'opened', 'fire', 'killing', '20', 'children', 'six', 'adults', 'committing', 'suicide', 'lanza', 'history', 'serious', 'mental', 'health', 'problems', 'known', 'family', 'others', 'detailed', 'post', 'massacre', 'investigation', 'connecticut', 'authorities']",12/14/2012,white,No,"Lanza had a history of serious mental health problems that were known to his family and others, as detailed in a post-massacre investigation by Connecticut authorities.",-73.31142358,http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid,28,2012,Stolen from mother
Accent Signage Systems shooting,8,"Minneapolis, Minnesota",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One semiautomatic handgun,http://www.startribune.com/local/171774461.html?refer=y,44.9772995,9mm Glock semiautomatic handgun,Male,Workplace,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.","['andrew', 'engeldinger', '36', 'upon', 'learning', 'fired', 'went', 'shooting', 'rampage', 'killing', 'business', 'owner', 'three', 'fellow', 'employees', 'ups', 'driver', 'killed', 'family', 'worried', 'paranoia', 'delusions', 'least', 'two', 'years', 'prior', 'tried', 'get', 'seek', 'treatment']",9/27/2012,white,Yes,"His family worried about his ""paranoia and delusions"" for at least two years prior, and tried to get him to seek treatment.",-93.2654692,http://www.startribune.com/local/171774461.html?refer=y,7,2012,Unknown
Sikh temple shooting,10,"Oak Creek, Wisconsin",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,One semiautomatic handgun,http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html,42.8858503,9mm Springfield Armory XDM semiautomatic handgun,Male,Religious,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.","['u', 's', 'army', 'veteran', 'wade', 'michael', 'page', '40', 'opened', 'fire', 'sikh', 'gurdwara', 'died', 'self', 'inflicted', 'gunshot', 'shootout', 'police', 'army', 'friends', 'broke', 'apartment', 'fearing', 'commit', 'suicide', ""'90s"", 'psychiatric', 'nurse', 'lived', 'downstairs', 'page', 'said', 'obvious', 'mental', 'illness']",8/5/2012,white,Yes,"His Army friends once broke into his apartment, fearing he'd commit suicide in the '90s. A psychiatric nurse who lived downstairs from Page said it was ""obvious"" he had a mental illness.",-87.8631362,http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426-officer-arriving-at-sikh-temple-shooting-time-to-use-deadly-force?lite; http://articles.latimes.com/2012/aug/08/nation/la-na-nn-sikh-shooting-guns-20120807; http://www.bbc.co.uk/news/world-us-canada-19183359,7,2012,Unknown
Aurora theater shooting,82,"Aurora, Colorado",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",70,"Two semiautomatic handguns, one rifle (assault), one shotgun",http://www.cbsnews.com/8301-201_162-57497820/james-holmes-saw-three-mental-health-professionals-before-shooting/,39.709283,Two .40-caliber Glock semiautomatic handguns; .223-caliber Smith & Wesson M&P15 semiautomatic rifle; 12-gauge Remington 870 pump-action shotgun,Male,Other,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.","['james', 'holmes', '24', 'opened', 'fire', 'movie', 'theater', 'opening', 'night', 'dark', 'night', 'rises', 'later', 'arrested', 'outside', 'saw', 'least', 'three', 'mental', 'health', 'professionals', 'dropping', 'university']",7/20/2012,white,Yes,He saw at least three mental health professionals before dropping out of his university.,-104.823488,http://www.cbsnews.com/8301-201_162-57497820/james-holmes-saw-three-mental-health-professionals-before-shooting/; http://www.9news.com/news/article/283503/188/Aurora-shooting-prompts-gun-bills-in-big-states-; http://www.nytimes.com/2012/07/21/us/shooting-at-colorado-theater-showing-batman-movie.html; http://www.motherjones.com/politics/2012/07/batman-theater-shooting-updates-dark-knight-rises,12,2012,"Gander Mountain stores in Thornton and Aurora, Colo.; Bass Pro Shop in Denver, Colo.; BulkAmmo.com"
